ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_reto,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,estado_ingreso_actual,objetivo_declarado,calidad_datos,factores_positivos,factores_atencion,informacion_faltante,explicacion_periodo,particion,prob_situacion_critica_pct,prob_fragilidad_sostenida_pct,prob_uso_planificado_reserva_pct,prob_acumulacion_estable_pct,prob_deterioro_reciente_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,recurrencias_observadas,recurrencias_fijas_observadas,recurrencias_variables_observadas,recurrencias_estacionales_observadas,eventos_inusuales_observados,tendencia_entradas,tendencia_salidas
VEN_0171_3,PERF_0171,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,saludable,calculado,92.07,baja,mixto,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 4602000 COP y una cobertura estimada de 2.07 meses. Este resultado describe el periodo y no a la persona.,test,0.0,0.43,0.0,0.58,0.0,6.92,92.07,3,3,0,0,3,aumento_observado,disminucion_observada
VEN_0161_3,PERF_0161,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -31768000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,2,aumento_observado,disminucion_observada
VEN_0177_3,PERF_0177,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.83,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7122000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,99.83,0.04,0.0,0.0,0.14,0.0,0.0,2,2,0,0,1,evidencia_insuficiente,disminucion_observada
VEN_0183_3,PERF_0183,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,saludable,calculado,96.76,baja,mixto,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 5469000 COP y una cobertura estimada de 8.38 meses. Este resultado describe el periodo y no a la persona.,train,0.0,0.12,0.0,2.79,0.0,0.33,96.76,3,3,0,0,3,aumento_observado,disminucion_observada
VEN_0198_3,PERF_0198,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,93.4,baja,variable,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 1271000 COP y una cobertura estimada de 1.09 meses. Este resultado describe el periodo y no a la persona.,train,0.0,0.08,0.09,5.78,0.0,93.4,0.65,1,1,0,0,4,aumento_observado,disminucion_observada
VEN_0168_3,PERF_0168,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -18168000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,3,estabilidad_observada,estabilidad_observada
VEN_0151_3,PERF_0151,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,96.49,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -24621000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,96.49,2.94,0.03,0.0,0.53,0.0,0.0,2,2,0,0,7,disminucion_observada,aumento_observado
VEN_0157_3,PERF_0157,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,saludable,calculado,62.61,media,variable,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 1748000 COP y una cobertura estimada de 5.15 meses. Este resultado describe el periodo y no a la persona.,train,0.03,0.88,3.88,21.95,1.01,9.65,62.61,2,2,0,0,2,estabilidad_observada,estabilidad_observada
VEN_0170_3,PERF_0170,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,84.72,baja,mixto,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 2555000 COP y una cobertura estimada de 1.70 meses. Este resultado describe el periodo y no a la persona.,validation,0.0,0.02,0.24,10.49,0.0,84.72,4.53,2,2,0,0,1,estabilidad_observada,disminucion_observada
VEN_0178_3,PERF_0178,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,97.99,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -12394000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,97.99,1.62,0.21,0.0,0.18,0.0,0.0,2,1,1,0,3,aumento_observado,estabilidad_observada
VEN_0199_3,PERF_0199,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,saludable,calculado,94.38,baja,variable,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 6838000 COP y una cobertura estimada de 8.71 meses. Este resultado describe el periodo y no a la persona.,validation,0.0,0.04,0.21,4.88,0.0,0.49,94.38,2,2,0,0,6,estabilidad_observada,disminucion_observada
VEN_0181_3,PERF_0181,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.87,baja,sin_ingresos,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -48800000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.87,0.0,0.13,0.0,0.0,0.0,0.0,2,1,1,0,2,evidencia_insuficiente,estabilidad_observada
VEN_0176_3,PERF_0176,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,97.76,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -12162000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,97.76,1.34,0.9,0.0,0.0,0.0,0.0,3,2,1,0,3,aumento_observado,estabilidad_observada
VEN_0195_3,PERF_0195,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.51,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -12235000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,99.51,0.26,0.22,0.0,0.0,0.0,0.0,2,1,1,0,0,disminucion_observada,estabilidad_observada
VEN_0165_3,PERF_0165,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,estado_incierto,no_disponible,requiere_confirmacion,48.49,alta,variable,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7184000 COP y una cobertura estimada de 2.18 meses. Este resultado describe el periodo y no a la persona.,train,0.12,16.39,48.49,0.0,34.88,0.12,0.0,1,1,0,0,11,disminucion_observada,aumento_observado
VEN_0182_3,PERF_0182,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,variable,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -20004000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,1,0,5,estabilidad_observada,estabilidad_observada
VEN_0191_3,PERF_0191,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,93.67,baja,variable,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 2803000 COP y una cobertura estimada de 1.77 meses. Este resultado describe el periodo y no a la persona.,validation,0.0,0.0,0.19,5.56,0.0,93.67,0.58,1,1,0,0,2,estabilidad_observada,estabilidad_observada
VEN_0179_3,PERF_0179,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,84.9,baja,estacional,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -9613000 COP y una cobertura estimada de 0.04 meses. Este resultado describe el periodo y no a la persona.,train,10.65,84.9,0.91,0.0,3.53,0.0,0.0,3,1,2,0,6,disminucion_observada,aumento_observado
VEN_0163_3,PERF_0163,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,86.09,baja,variable,False,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 970000 COP y una cobertura estimada de 0.99 meses. Este resultado describe el periodo y no a la persona.,test,0.0,0.71,0.06,11.34,0.0,86.09,1.8,2,2,0,0,1,disminucion_observada,disminucion_observada
VEN_0175_3,PERF_0175,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.96,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -21918000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,99.96,0.04,0.0,0.0,0.0,0.0,0.0,3,3,0,0,1,estabilidad_observada,disminucion_observada
VEN_0155_3,PERF_0155,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.63,baja,apoyo,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -8646000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.63,0.37,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,evidencia_insuficiente,disminucion_observada
VEN_0192_3,PERF_0192,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,estado_incierto,no_disponible,requiere_confirmacion,83.67,alta,variable,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -5274000 COP y una cobertura estimada de 1.89 meses. Este resultado describe el periodo y no a la persona.,train,0.32,5.95,83.67,0.0,8.91,0.98,0.17,2,2,0,0,1,disminucion_observada,estabilidad_observada
VEN_0186_3,PERF_0186,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,estado_incierto,no_disponible,requiere_confirmacion,65.4,alta,mixto,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -10781000 COP y una cobertura estimada de 2.48 meses. Este resultado describe el periodo y no a la persona.,test,0.95,23.38,65.4,0.0,9.86,0.39,0.0,4,4,0,0,6,estabilidad_observada,aumento_observado
VEN_0190_3,PERF_0190,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,saludable,calculado,97.76,baja,mixto,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 7837000 COP y una cobertura estimada de 6.05 meses. Este resultado describe el periodo y no a la persona.,train,0.0,0.17,0.0,1.71,0.0,0.35,97.76,3,2,1,0,4,aumento_observado,estabilidad_observada
VEN_0187_3,PERF_0187,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,sin_ingresos,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -15353000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,test,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,evidencia_insuficiente,estabilidad_observada
VEN_0166_3,PERF_0166,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,96.04,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7401000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,96.04,2.05,0.45,0.0,1.47,0.0,0.0,2,2,0,0,6,disminucion_observada,estabilidad_observada
VEN_0193_3,PERF_0193,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,75.6,baja,variable,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7833000 COP y una cobertura estimada de 0.98 meses. Este resultado describe el periodo y no a la persona.,train,0.75,75.6,4.27,0.0,19.18,0.21,0.0,2,2,0,0,1,disminucion_observada,aumento_observado
VEN_0174_3,PERF_0174,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,98.83,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -31810000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,98.83,0.34,0.83,0.0,0.0,0.0,0.0,2,2,0,0,2,estabilidad_observada,disminucion_observada
VEN_0159_3,PERF_0159,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.75,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -10749000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.75,0.17,0.09,0.0,0.0,0.0,0.0,2,2,0,0,5,evidencia_insuficiente,aumento_observado
VEN_0154_3,PERF_0154,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.67,baja,estacional,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -43555000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.67,0.19,0.13,0.0,0.0,0.0,0.0,3,3,0,0,3,estabilidad_observada,estabilidad_observada
VEN_0158_3,PERF_0158,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.85,baja,sin_ingresos,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -28449000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.85,0.15,0.0,0.0,0.0,0.0,0.0,2,2,0,0,8,evidencia_insuficiente,aumento_observado
VEN_0188_3,PERF_0188,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,97.96,baja,mixto,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -13939000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,97.96,1.58,0.31,0.0,0.16,0.0,0.0,2,2,0,0,4,aumento_observado,estabilidad_observada
VEN_0194_3,PERF_0194,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,89.72,baja,variable,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -2764000 COP y una cobertura estimada de 0.33 meses. Este resultado describe el periodo y no a la persona.,validation,0.5,89.72,3.97,0.1,5.29,0.18,0.25,3,2,1,0,6,estabilidad_observada,estabilidad_observada
VEN_0185_3,PERF_0185,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.83,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -13180000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,test,99.83,0.17,0.0,0.0,0.0,0.0,0.0,5,3,2,0,0,evidencia_insuficiente,disminucion_observada
VEN_0173_3,PERF_0173,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.86,baja,apoyo,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -12310000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.86,0.14,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,evidencia_insuficiente,estabilidad_observada
VEN_0180_3,PERF_0180,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,fijo,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -17137000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,1,0,1,estabilidad_observada,estabilidad_observada
VEN_0169_3,PERF_0169,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,80.64,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -2463000 COP y una cobertura estimada de 1.86 meses. Este resultado describe el periodo y no a la persona.,train,1.2,80.64,14.69,0.12,3.24,0.11,0.0,2,2,0,0,1,evidencia_insuficiente,estabilidad_observada
VEN_0156_3,PERF_0156,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,84.73,baja,variable,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 1239000 COP y una cobertura estimada de 1.89 meses. Este resultado describe el periodo y no a la persona.,train,0.0,0.2,0.34,12.34,0.0,84.73,2.41,3,2,1,0,3,disminucion_observada,disminucion_observada
VEN_0153_3,PERF_0153,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,apoyo,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -23150000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,3,aumento_observado,disminucion_observada
VEN_0100_3,PERF_0100,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.2,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -5550000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.2,0.66,0.14,0.0,0.0,0.0,0.0,2,2,0,0,4,aumento_observado,estabilidad_observada
VEN_0149_3,PERF_0149,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,96.83,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -6786000 COP y una cobertura estimada de 0.20 meses. Este resultado describe el periodo y no a la persona.,train,1.67,96.83,1.1,0.0,0.4,0.0,0.0,3,2,1,0,3,evidencia_insuficiente,disminucion_observada
VEN_0052_3,PERF_0052,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,89.0,baja,estacional,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -9643000 COP y una cobertura estimada de 0.35 meses. Este resultado describe el periodo y no a la persona.,train,2.78,89.0,5.16,0.11,2.9,0.06,0.0,3,2,1,0,3,disminucion_observada,estabilidad_observada
VEN_0051_3,PERF_0051,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,saludable,calculado,69.82,media,variable,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 3078000 COP y una cobertura estimada de 5.27 meses. Este resultado describe el periodo y no a la persona.,test,0.0,0.11,0.61,69.82,0.15,24.97,4.34,3,2,1,0,2,estabilidad_observada,disminucion_observada
